date,AET-7471,AET-7472,AET-7473,AET-7474,AET-7475,AET-7476,TK-02B,TK-02D,TK-02E
2023-11-01,0.8375,0.6142857142857142,0.6142857142857142,0.6625,0.85,0.825,3.825,0.85,0.9000000000000001
2023-11-02,0.5874999999999999,0.5,0.5874999999999999,0.75,0.7124999999999999,0.75,4.65,1.575,0.925
2023-11-03,0.6428571428571429,0.5875,0.6375000000000001,0.6749999999999999,0.6625,0.7124999999999999,8.0,2.2750000000000004,1.0
2023-11-04,0.5999999999999999,0.6428571428571429,1.042857142857143,1.042857142857143,0.8625,0.975,9.375,2.325,0.942857142857143
2023-11-05,1.7875,0.9428571428571428,0.575,0.5625,0.7375,0.9375,10.5,1.975,0.9
2023-11-06,0.875,0.7714285714285715,0.5249999999999999,0.6375,0.6625,0.875,11.0,1.75,0.8625
2023-11-07,0.5499999999999999,0.5375,0.5,0.5375000000000001,0.625,0.7124999999999999,10.0,1.875,0.9285714285714286
2023-11-08,0.6000000000000001,0.5875,0.5,0.5375,0.5125,0.6000000000000001,9.75,1.75,1.025
2023-11-09,0.6124999999999999,0.6875,0.5249999999999999,0.6499999999999999,0.6625000000000001,0.75,11.0,2.2,1.4875
2023-11-10,0.7,0.6875,0.825,0.7625,0.7625,0.8,9.75,2.275,1.275
2023-11-11,0.625,0.7125,0.8374999999999999,0.7124999999999999,0.75,1.675,9.0,3.125,1.0875
2023-11-12,0.775,0.7374999999999999,0.75,0.7,0.7875000000000001,0.8,10.5,1.8000000000000005,0.9
2023-11-13,0.6625,0.725,0.75,0.7375,0.7375,0.725,10.0,2.25,0.875
2023-11-14,0.6875,0.5874999999999999,0.5625,0.8500000000000001,0.6375,0.625,9.25,1.8,1.0750000000000002
2023-11-15,0.5874999999999999,0.6625000000000001,0.7250000000000001,0.5,0.675,0.6625000000000001,9.75,1.975,1.125
2023-11-16,0.7125,0.6875,0.6625000000000001,0.8250000000000001,0.8,0.7625,9.5,2.025,1.0
2023-11-17,0.6,0.6625,0.5875,0.7375,0.6625,0.6749999999999999,9.0,1.95,0.8125
2023-11-18,0.5,0.5625,0.5625,0.6375,0.7375,0.8250000000000001,8.5,1.775,0.7124999999999999
2023-11-19,0.8375,0.7625,0.7625,0.8250000000000001,0.925,1.0,8.25,1.55,0.85
2023-11-20,0.7375,0.675,0.65,0.75,0.9125,0.7375,9.75,2.075,1.025
2023-11-21,0.8625,0.8714285714285713,0.8,0.8375000000000001,1.0,0.9000000000000001,12.0,1.525,0.925
2023-11-22,0.575,0.575,0.75,1.45,0.9625,0.95,10.25,1.375,0.8500000000000001
2023-11-23,0.825,0.7250000000000001,0.7625,0.8624999999999999,1.35,1.725,10.25,1.0750000000000002,0.6375
2023-11-24,1.5875,1.5499999999999998,1.6124999999999998,1.1375,1.875,2.15,9.25,1.375,0.6625
2023-11-25,1.75,1.4125,1.6,1.5,1.5875,1.7875,8.5,1.2875,0.7
2023-11-26,1.825,1.825,2.0,1.825,1.9,2.0250000000000004,8.875,1.2,0.6624999999999999
2023-11-27,1.775,1.475,1.95,1.6,1.9,1.775,9.5,2.0250000000000004,0.7625
2023-11-28,1.525,1.3125,1.375,0.9125,1.1625,1.1,8.875,2.2,0.8499999999999999
2023-11-29,1.6,1.275,1.25,1.375,1.4625,1.4375,7.25,2.05,0.9
2023-11-30,1.0625,1.125,0.925,0.8999999999999999,0.8375,1.0,10.25,1.1625,0.875
2023-12-01,1.0875,1.1714285714285713,1.05,0.9875,0.8875,1.0125,8.75,1.2374999999999998,0.8625
2023-12-02,1.025,1.1875,1.175,0.9375,1.125,0.9875,8.25,1.4625,1.025
2023-12-03,0.9625,0.925,1.0,0.8625,0.925,0.925,8.75,1.075,0.75
